---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
AAA_ABLAUFART,,,A10
AAA_ABLAUFARTBEZ,,,A50
AAA_AENDERUNGSDATUM,,,DATE
AAA_AUSDRUCKBEZ,,,A50
AAA_AUSDRUCKBEZ2,,,A50
AAA_ERSTELLDATUM,,,DATE
AAA_ERSTELLUSER,,,A10
AAA_ISTBMDSTANDARD,,,N1
AAA_LETZTERUSER,,,A10
AAA_POSTITNR,,,N15
AAD_AAM_ANBUAUSDRMASTERNR,,,N4
AAD_ABNUTZBAR,,,N1
AAD_ABU_FIRMENNR,,,N10
AAD_AENDERUNGSDATUM,,,DATE
AAD_ANBUAUSDRDETAILID,,,bigint (19. 0)
AAD_ANLAGEGUETER,,,N2
AAD_ANLAGENART,,,N1
AAD_ASP_ANBUSPALTENKOPFID,,,bigint (19. 0)
AAD_AUSDRDETAILBEZ,,,A50
AAD_BERECH_INTERVALL,,,N2
AAD_BEWEGLICH,,,N1
AAD_BEWERTUNGSRESERVEN,,,N2
AAD_BUCHUNGSART,,,N2
AAD_BUCHUNGSART2,,,N2
AAD_BUCHUNGSARTEN,,,N2
AAD_DRUCK_KONTO_HEADER,,,N1
AAD_DRUCK_KONTO_KUM,,,N1
AAD_EDIT_DOG,,,A10
AAD_ERSTELLDATUM,,,DATE
AAD_ERSTELLUSER,,,A10
AAD_EXCEL_EXPORT,,,N4
AAD_EXCEL_NONUMBERFORMAT,,,N1
AAD_FORMULARFUSS,,,N10
AAD_FORMULARFUSS_ENDE,,,N10
AAD_FORMULARKOPF,,,N10
AAD_FORMULARKOPF_BEGINN,,,N10
AAD_IST_STAMMDATENBLATT,,,N1
AAD_ISTBMDSTANDARD,,,N1
AAD_JOURNALBUCHUNGEN,,,N1
AAD_LANDNR,,,N4
AAD_LETZTERUSER,,,A10
AAD_LINEOFFSETKORRFAKTOR,,,numeric (6. 2)
AAD_MATCHCODE,,,A30
AAD_ORIENTATION,,,N1
AAD_PAPIER_FORMAT,,,A20
AAD_RAHMEN,,,N10
AAD_RAND_LINKS,,,N10
AAD_RAND_OBEN,,,N10
AAD_RAND_RECHTS,,,N10
AAD_RAND_UNTEN,,,N10
AAD_REIHUNG,,,numeric (18. 10)
AAD_REPORTNR,,,N10
AAD_SHOW_DOG,,,A10
