----[BEISTRICH GETRENNTE CSV!]
----Code, Parent Key Columns, Child Key Columns 
----Wenn zuerst Zahl angegeben wird, erscheint dieser sortiert nach der Nummerierung am Beginn!


---Manuell:
PER_MIT,         FIRMENNR; PERSONENID,                                   MIT2_FIRMENNR; MIT2_MITARBEITERID, E
PER_MIT,         FIRMENNR; PERSONENID,                                   MIT1_FIRMENNR; MIT1_MITARBEITERID, E
1PER_MIT,         FIRMENNR; PERSONENID,                                  FIRMENNR; MITARBEITERID, E
1PER_KLI,         FIRMENNR; PERSONENID,                                  FIRMENNR; KLID, E, test
1KTO_PEK,        FIRMENNR; FIBUNR; KONTONR,                              FIRMENNR;FIBUNR;KONTONR, E
1ARL_SLK,       STKLISTKOPFID,                                           STKLISTKOPFID, E
1EFK_PER,	AUFTRAGGEBER_FIRMENNR; AUFTRAGGEBER_KLID,		             FIRMENNR; PERSONENID, E
2EFK_PER,	RECHNUNGEMPF_FIRMENNR; RECHNUNGEMPF_KLID,	                 FIRMENNR; PERSONENID, E
3EFK_PER,	LIEFEREMPF_FIRMENNR;   LIEFEREMPF_KLID,		                 FIRMENNR; PERSONENID, E

---Join von SQL Datenbank
ADO_AAA,AUSDRUCKABLAUFART,ABLAUFART
AMZ_AAA,AUSDRUCKABLAUFART,ABLAUFART
AAL_AAD,AUSDRUCKID,ANBUAUSDRDETAILID
AAP_AAK,ARAKOPFID,ARAKOPFID
AAD_AAM,AAM_ANBUAUSDRMASTERNR,ANBUAUSDRMASTERNR
ASP_AAM,AAM_ANBUAUSDRMASTERNR,ANBUAUSDRMASTERNR
AWD_AAS,AAS_AASID,AASID
SAT_AAS,AAS_AASID,AASID
ABJ_ABJ,UMBUCH_BRJOURNALID; UMBUCH_BEWRESID,BRJOURNALID; BEWRESID
ANB_ABJ,ABJ_BEWRESID; ABJ_BRJOURNALID,BEWRESID; BRJOURNALID
ABZ_ABK,FIRMENNR; ABKOPFLFDNR,FIRMENNR; ABKOPFLFDNR
ABL_ABL,PARENT,ABLID
ABN_ABM,ABMID,ABMID
ABS_ABQ,ABSID,ABSID
ABJ_ABR,BEWRESID,BEWRESID
AJO_ABR,BEWRESID,BEWRESID
IAB_ABR,ABR_BEWRESID,BEWRESID
LZS_ABS,ABSID; BZJJ; DVFIRMENNR,ABSID; LOHNJAHR; FIRMENNR
PSM_ABS,DVFIRMENNR; PSMJAHR; ABS_HRSSEQID,FIRMENNR; LOHNJAHR; ABSID
ABJ_ABU,CLUSTER_FIRMENNR; CLUSTER_ANBUNR,FIRMENNR; ANBUNR
ABR_ABU,CLUSTER_ANBUNR; CLUSTER_FIRMENNR,ANBUNR; FIRMENNR
ACT_ABU,CLUSTER_FIRMENNR; CLUSTER_ANBUNR,FIRMENNR; ANBUNR
ACZ_ABU,CLUSTER_ANBUNR; CLUSTER_FIRMENNR,ANBUNR; FIRMENNR
AET_ABU,CLUSTER_FIRMENNR; CLUSTER_ANBUNR,FIRMENNR; ANBUNR
AGU_ABU,ANBUNR; FIRMENNR,ANBUNR; FIRMENNR
AJO_ABU,CLUSTER_FIRMENNR; CLUSTER_ANBUNR,FIRMENNR; ANBUNR
AKN_ABU,ANBUNR; FIRMENNR,ANBUNR; FIRMENNR
ANB_ABU,FIRMENNR; ANBUNR,FIRMENNR; ANBUNR
ANS_ABU,ANBUNR; FIRMENNR,ANBUNR; FIRMENNR
ANZ_ABU,CLUSTER_FIRMENNR; CLUSTER_ANBUNR,FIRMENNR; ANBUNR
AZK_ABU,ANBUNR; FIRMENNR,ANBUNR; FIRMENNR
BPV_ABU,FIRMENNR; ANBUNR,FIRMENNR; ANBUNR
IAB_ABU,FIRMENNR; ANBUNR,FIRMENNR; ANBUNR
NFZ_ABU,ANBUNR; FIRMENNR,ANBUNR; FIRMENNR
ACA_ACF,FIRMENNR; TESTFALLNR; FIBUNR,FIRMENNR; TESTFALLNR; FIBUNR
ACE_ACF,FIBUNR; TESTFALLNR; FIRMENNR,FIBUNR; TESTFALLNR; FIRMENNR
ACD_ACI,ACIID,ACIID
ADA_ADA,FOLGE_ADRESSARTNR,ADRESSARTNR
ADR_ADA,ADRESSARTNR,ADRESSARTNR
AEE_ADD,FIRMENNR; AUSDRUCKMODELLNR; AUSDRUCKMODELLFDNR,FIRMENNR; AUSDRUCKMODELLNR; AUSDRUCKMODELLFDNR
ALE_ADK,ADRLISTENNR; FIRMENNR,ADRLISTENNR; FIRMENNR
PRO_ADK,ADK_FIRMENNR; ADK_ADRLISTENNR,FIRMENNR; ADRLISTENNR
UMF_ADK,ADK_FIRMENNR; ADRLISTENNR,FIRMENNR; ADRLISTENNR
ADD_ADO,AUSDRUCKMODELLNR; FIRMENNR,AUSDRUCKMODELLNR; FIRMENNR
AEE_ADO,FIRMENNR; AUSDRUCKMODELLNR,FIRMENNR; AUSDRUCKMODELLNR
AMZ_ADO,AUSDRUCKMODELLNR; FIRMENNR,AUSDRUCKMODELLNR; FIRMENNR
AEN_ADR,ADRESSLFDNR,ADRESSLFDNR
ALE_ADR,ADRESSLFDNR,ADRESSLFDNR
EVN_ADR,ADRESSLFDNR,ADRESSLFDNR
IMO_ADR,ADRESSLFDNR,ADRESSLFDNR
INS_ADR,ADRESSLFDNR,ADRESSLFDNR
PKL_ADR,ADRESSLFDNR,ADRESSLFDNR
VAT_ADR,ADRESSLFDNR,ADRESSLFDNR
WAM_ADR,ADRESSLFDNR,ADRESSLFDNR
ADW_ADW,SET_ADWID,ADWID
AFB_AFB,PARENT_ANBUFIBID,ANBUFIBID
