---Views von SQL Datenbank (Strg+Shift+B-->Shift ß-->V)
TABLE_SCHEMA;TABLE_NAME;VIEW_DEFINITION
BIL;VBM_VIEW_BERECHPARAMS_MIN;CREATE VIEW BIL.VBM_VIEW_BERECHPARAMS_MIN ( VBM_FIRMENNR, VBM_ANBUNR, VBM_ANLAGEGUTID, VBM_BERECHNUNGSART, VBM_JAHR_STICHTAG ) AS ( SELECT B.BPV_FIRMENNR, B.BPV_ANBUNR, B.BPV_ANLAGEGUTID, B.BPV_BERECHNUNGSART, MIN(B.BPV_JAHR_STICHTAG) AS BPV_JAHR_STICHTAG FROM BIL.BPV_ANBU_BERECHPARAMS B GROUP BY BPV_FIRMENNR, BPV_ANBUNR, BPV_ANLAGEGUTID, BPV_BERECHNUNGSART )
BIL;VCZ_VIEW_ANLAGEGUTSACHKONTOZU;CREATE VIEW BIL.VCZ_VIEW_ANLAGEGUTSACHKONTOZU ( VCZ_ANLAGEGUTID, VCZ_ANLGSAK_VON, VCZ_ANLGSAK_BIS, VCZ_SACHKONTONR, VCZ_AENDERUNGSDATUM, VCZ_ERSTELLDATUM, VCZ_ERSTELLUSER, VCZ_LETZTERUSER ) AS ( SELECT Z.ACZ_ANLAGEGUTID, Z.ACZ_ANLGSAK_VON, Z.ACZ_ANLGSAK_BIS, Z.ACZ_SACHKONTONR, Z.ACZ_AENDERUNGSDATUM, Z.ACZ_ERSTELLDATUM, Z.ACZ_ERSTELLUSER, Z.ACZ_LETZTERUSER FROM BIL.ACZ_ANLAGEGUTSACHKONTOZU Z, (SELECT Z3.ACZ_ANLAGEGUTID, MAX(Z3.ACZ_ANLGSAK_VON) AS ACZ_ANLGSAK_VON FROM BIL.ACZ_ANLAGEGUTSACHKONTOZU Z3 GROUP BY Z3.ACZ_ANLAGEGUTID) Z2 WHERE Z.ACZ_ANLAGEGUTID = Z2.ACZ_ANLAGEGUTID AND Z.ACZ_ANLGSAK_VON = Z2.ACZ_ANLGSAK_VON )
BIL;VJ0_V_AJO_ANBUJOURNAL;CREATE VIEW BIL.VJ0_V_AJO_ANBUJOURNAL ( VJ0_AJO_ANLAGEGUTID,   VJ0_AJO_ANBUJOURNALID, VJ0_AJO_ANBUJOURNALLFDNR, VJ0_AJO_ANBUBERECHART, VJ0_AJO_ANBUJOURNALDATUM, VJ0_AJO_ANBUBUCHDATUM, VJ0_AJO_ANBUBUCHPERIODE, VJ0_AJO_ANBUBUCHART,   VJ0_AJO_BETRAGAW, VJ0_AJO_BETRAGBW, VJ0_AJO_NUTZUNGSDAUER, VJ0_AJO_UMBUCH_ANLAGEGUTID, VJ0_AJO_UMBUCH_ANBUJOURNALID, VJ0_AJO_LIEFERANT_FIRMENNR, VJ0_AJO_LIEFERANT_PERSONENID,   VJ0_AJO_LIEFERANT_NAME, VJ0_AJO_LIEFERANT_NAME2, VJ0_AJO_ZUSATZTEXTLIEF, VJ0_AJO_LIEFERANT_ORT, VJ0_AJO_LIEFERANT_ANSCHRIFT, VJ0_AJO_BELEG, VJ0_AJO_BELEGDATUM,   VJ0_AJO_ABGANGSERLOES, VJ0_AJO_BUCHUNGSTEXT, VJ0_AJO_MENGE, VJ0_AJO_ISTBERECHRELEVANT, VJ0_AJO_BETRAGNOMINALWERT, VJ0_AJO_ISTGESPERRT, VJ0_AJO_AFAPROZENT,   VJ0_AJO_AENDERUNGSDATUM, VJ0_AJO_ERSTELLDATUM, VJ0_AJO_ERSTELLUSER, VJ0_AJO_LETZTERUSER, VJ0_AJO_BEWRESID, VJ0_AJO_BUCHUNGSGRUPPENID, VJ0_AJO_ABGANGSART,   VJ0_AJO_BETRAGKALKZINSEN, VJ0_AJO_FIBUFIRMENNR, VJ0_AJO_FIBUNR, VJ0_AJO_FIBUBELEGID, VJ0_AJO_FIBUBETRAG, VJ0_AJO_RESTWERT, VJ0_AJO_FIBUFIRMENNR_KUMAFA,   VJ0_AJO_FIBUNR_KUMAFA, VJ0_AJO_FIBUBELEGID_KUMAFA, VJ0_AJO_FIBUBETRAG_KUMAFA, VJ0_AJO_BUCHUNGSTEXTZUSATZ, VJ0_AJO_BUSYMBOL, VJ0_AJO_UMG_PROZENT, VJ0_AJO_ICCODE,   VJ0_AJO_ANBUBUCHKZ, VJ0_AJO_FREIFELDA01_100, VJ0_AJO_FREIFELDB01, VJ0_AJO_FREIFELDC01, VJ0_AJO_FREIFELDD01, VJ0_AJO_CLUSTER_FIRMENNR, VJ0_AJO_CLUSTER_ANBUNR,   VJ0_AJO_EXTBELEGNR )  AS SELECT AJO_ANLAGEGUTID,   AJO_ANBUJOURNALID, AJO_ANBUJOURNALLFDNR, AJO_ANBUBERECHART, AJO_ANBUJOURNALDATUM, AJO_ANBUBUCHDATUM, AJO_ANBUBUCHPERIODE, AJO_ANBUBUCHART,   AJO_BETRAGAW, AJO_BETRAGBW, AJO_NUTZUNGSDAUER, AJO_UMBUCH_ANLAGEGUTID, AJO_UMBUCH_ANBUJOURNALID, AJO_LIEFERANT_FIRMENNR, AJO_LIEFERANT_PERSONENID,   AJO_LIEFERANT_NAME, AJO_LIEFERANT_NAME2, AJO_ZUSATZTEXTLIEF, AJO_LIEFERANT_ORT, AJO_LIEFERANT_ANSCHRIFT, AJO_BELEG, AJO_BELEGDATUM,   AJO_ABGANGSERLOES, AJO_BUCHUNGSTEXT, AJO_MENGE, AJO_ISTBERECHRELEVANT, AJO_BETRAGNOMINALWERT, AJO_ISTGESPERRT, AJO_AFAPROZENT,   AJO_AENDERUNGSDATUM, AJO_ERSTELLDATUM, AJO_ERSTELLUSER, AJO_LETZTERUSER, AJO_BEWRESID, AJO_BUCHUNGSGRUPPENID, AJO_ABGANGSART,   AJO_BETRAGKALKZINSEN, AJO_FIBUFIRMENNR, AJO_FIBUNR, AJO_FIBUBELEGID, AJO_FIBUBETRAG, AJO_RESTWERT, AJO_FIBUFIRMENNR_KUMAFA,   AJO_FIBUNR_KUMAFA, AJO_FIBUBELEGID_KUMAFA, AJO_FIBUBETRAG_KUMAFA, AJO_BUCHUNGSTEXTZUSATZ, AJO_BUSYMBOL, AJO_UMG_PROZENT, AJO_ICCODE,   AJO_ANBUBUCHKZ, AJO_FREIFELDA01_100, AJO_FREIFELDB01, AJO_FREIFELDC01, AJO_FREIFELDD01, AJO_CLUSTER_FIRMENNR, AJO_CLUSTER_ANBUNR,   AJO_EXTBELEGNR FROM BIL.AJO_ANBUJOURNAL
BIL;VJZ_VIEW_ANBUJOURNAL_WITH_ACZ;CREATE VIEW BIL.VJZ_VIEW_ANBUJOURNAL_WITH_ACZ AS SELECT A.*, C.ACZ_SACHKONTONR FROM BIL.AJO_ANBUJOURNAL A INNER JOIN BIL.ACZ_ANLAGEGUTSACHKONTOZU C ON (A.AJO_ANLAGEGUTID = C.ACZ_ANLAGEGUTID) WHERE ((C.ACZ_ANLGSAK_VON <= A.AJO_ANBUJOURNALDATUM AND C.ACZ_ANLGSAK_BIS IS NULL) OR (C.ACZ_ANLGSAK_VON <= A.AJO_ANBUJOURNALDATUM AND C.ACZ_ANLGSAK_BIS >= A.AJO_ANBUJOURNALDATUM) )
BMD;DBA_CONS_COLUMNS;CREATE VIEW BMD.DBA_CONS_COLUMNS AS SELECT TABLE_NAME COLLATE DATABASE_DEFAULT AS TABLE_NAME,        TABLE_SCHEMA COLLATE DATABASE_DEFAULT AS OWNER,       CONSTRAINT_NAME COLLATE DATABASE_DEFAULT AS CONSTRAINT_NAME,       COLUMN_NAME COLLATE DATABASE_DEFAULT AS COLUMN_NAME FROM INFORMATION_SCHEMA.CONSTRAINT_COLUMN_USAGE WHERE CONSTRAINT_NAME LIKE 'FK%'  UNION SELECT F.NAME COLLATE DATABASE_DEFAULT AS TABLE_NAME,        C.NAME COLLATE DATABASE_DEFAULT AS OWNER,        D.NAME COLLATE DATABASE_DEFAULT AS CONSTRAINT_NAME,        B.NAME COLLATE DATABASE_DEFAULT AS COLUMN_NAME FROM SYSINDEXKEYS A, SYSCOLUMNS B, SYS.SCHEMAS C, SYSINDEXES D, SYSOBJECTS E, SYSOBJECTS F WHERE A.ID = B.ID AND A.COLID = B.COLID AND A.INDID = D.INDID AND A.ID = D.ID AND D.NAME = E.NAME AND E.UID = C.SCHEMA_ID AND A.ID = F.ID
BMD;DBA_IND_COLUMNS;CREATE VIEW BMD.DBA_IND_COLUMNS AS  SELECT E.NAME COLLATE DATABASE_DEFAULT AS INDEX_OWNER,  C.NAME COLLATE DATABASE_DEFAULT AS INDEX_NAME,  A.NAME COLLATE DATABASE_DEFAULT AS COLUMN_NAME,  B.KEYNO AS COLUMN_POSITION,  D.NAME COLLATE DATABASE_DEFAULT AS TABLE_NAME,  DESCEND = case indexkey_property(A.ID,B.INDID,B.KEYNO,'IsDescending')  WHEN 1 THEN'DESC' WHEN NULL THEN NULL ELSE 'ASC' END, UNIQUENESS = case indexproperty(A.ID, C.NAME, 'IsUnique')  WHEN 1 THEN 'ISUNIQUE' WHEN NULL THEN NULL  ELSE 'NONUNIQUE' END  FROM SYSCOLUMNS A, SYSINDEXKEYS B, SYSINDEXES C, SYSOBJECTS D, SYS.SCHEMAS E  WHERE  A.ID = B.ID AND  A.COLID = B.COLID AND  B.ID = C.ID AND  D.ID = A.ID AND  E.SCHEMA_ID = D.UID AND  B.INDID = C.INDID AND  C.INDID > 0
BMD;DBL_DBINFO_LOCKS;CREATE VIEW BMD.DBL_DBINFO_LOCKS AS SELECT TL.resource_type AS DBI_RESTYPE ,TL.resource_description AS DBI_RESDESCR ,TL.request_mode AS DBI_REQMODE ,TL.request_type AS DBI_REQTYPE ,TL.request_status AS DBI_REQSTATUS ,TL.request_owner_type AS DBI_REQOWNERTYPE ,TAT.name AS DBI_TRANSNAME ,TAT.transaction_begin_time AS DBI_TRANSBEGIN ,DATEDIFF(ss, TAT.transaction_begin_time, GETDATE()) AS DBI_TRANSDURA ,ES.session_id AS SESSION_Id ,ES.login_name AS LOGINAME ,COALESCE(OBJ.name, PAROBJ1.name) AS DBI_OBJECTNAME ,PARIDX1.name AS DBI_INDEXNAME ,ES.host_name AS HOSTNAME ,ES.program_name AS PROGRAM FROM sys.dm_tran_locks AS TL INNER JOIN sys.dm_exec_sessions AS ES ON TL.request_session_id = ES.session_id LEFT JOIN sys.dm_tran_active_transactions AS TAT ON TL.request_owner_id = TAT.transaction_id LEFT JOIN sys.objects AS OBJ ON TL.resource_associated_entity_id = OBJ.object_id AND TL.resource_type = 'OBJECT' LEFT JOIN sys.partitions AS PAR ON TL.resource_associated_entity_id = PAR.hobt_id AND TL.resource_type IN ('PAGE', 'KEY', 'RID', 'HOBT') LEFT JOIN sys.objects AS PAROBJ1 ON PAR.object_id = PAROBJ1.object_id LEFT JOIN sys.indexes AS PARIDX1 ON PAR.object_id = PARIDX1.object_id AND PAR.index_id = PARIDX1.index_id WHERE TL.resource_database_id = DB_ID()
BMD;DBU_VA_DBMAINMEMUSAGE;CREATE VIEW BMD.DBU_VA_DBMAINMEMUSAGE AS SELECT database_id, [DBU_NAME] = CASE [database_id] WHEN 32767 THEN 'Resource DB' ELSE DB_NAME([database_id]) END, db_buffer_pages DBU_BUFFER_PAGES, DBU_BUFFER_MB = db_buffer_pages / 128, DBU_BUFFER_PERCENT = CONVERT(DECIMAL(6,3), db_buffer_pages * 100.0 / (SELECT cntr_value FROM sys.dm_os_performance_counters WHERE RTRIM([object_name]) LIKE '%Buffer Manager' AND counter_name = 'Database Pages')) FROM (SELECT database_id, db_buffer_pages = COUNT_BIG(*) FROM sys.dm_os_buffer_descriptors GROUP BY database_id) as src
BMD;GETNEWID;CREATE VIEW BMD.GETNEWID AS SELECT CAST(newid() AS VARCHAR(36)) as MYGUID
BMD;ISC_VA_INFORMATIONCOLUMNS;CREATE VIEW BMD.ISC_VA_INFORMATIONCOLUMNS AS SELECT TABLE_SCHEMA COLLATE DATABASE_DEFAULT AS TABLE_SCHEMA, TABLE_NAME COLLATE DATABASE_DEFAULT AS TABLE_NAME FROM INFORMATION_SCHEMA.TABLES
