AAD_AUSDRUCKDETAIL;BIL.AAD_AUSDRUCKDETAIL
AAL_AUSDRUCKLAENDER;BIL.AAL_AUSDRUCKLAENDER
AAM_AUSDRUCKMASTER;BIL.AAM_AUSDRUCKMASTER
ABJ_ANBUBEWRESJOURNAL;BIL.ABJ_ANBUBEWRESJOURNAL
ABO_ANBUBUCHUNGKONTEN;BIL.ABO_ANBUBUCHUNGKONTEN
ABR_ANBUBEWRES;BIL.ABR_ANBUBEWRES
ABU_ANLAGENBUCHHALTUNG;BIL.ABU_ANLAGENBUCHHALTUNG
ACT_ANLAGEGUT_BERECH_TMP;BIL.ACT_ANLAGEGUT_BERECH_TMP
ACZ_ANLAGEGUTSACHKONTOZU;BIL.ACZ_ANLAGEGUTSACHKONTOZU
ADP_AUSDRUCKGESTALTUNG;BIL.ADP_AUSDRUCKGESTALTUNG
AET_ANLAGEGUT_ERFASS_TMP;BIL.AET_ANLAGEGUT_ERFASS_TMP
AGT_ANLAGEGUT_TMP;BIL.AGT_ANLAGEGUT_TMP
AGU_ANLAGEGUT;BIL.AGU_ANLAGEGUT
AIT_ANBU_IDS_TMP;BIL.AIT_ANBU_IDS_TMP
AJO_ANBUJOURNAL;BIL.AJO_ANBUJOURNAL
AJT_ANBUJOURNAL_TMP;BIL.AJT_ANBUJOURNAL_TMP
AKN_ANBU_KONSOL_AUSSCHLUSS;BIL.AKN_ANBU_KONSOL_AUSSCHLUSS
ALG_ANLAGENGRUPPE;BIL.ALG_ANLAGENGRUPPE
AMU_ANLAGEGUT_MDE_ZU;BIL.AMU_ANLAGEGUT_MDE_ZU
ANB_ANBUBUCHBELEGZU;BIL.ANB_ANBUBUCHBELEGZU
AND_ANBUNUTZUNGSDAUER;BIL.AND_ANBUNUTZUNGSDAUER
ANS_ANLAGENSCHEMA;BIL.ANS_ANLAGENSCHEMA
ANZ_ANLAGEGUTKOSTZU;BIL.ANZ_ANLAGEGUTKOSTZU
APC_ANBUPRODUKTIONSCODES;BIL.APC_ANBUPRODUKTIONSCODES
ART_ANBUBEWRES_TMP;BIL.ART_ANBUBEWRES_TMP
ARZ_ANLAGEGUTGRUPPEZU;BIL.ARZ_ANLAGEGUTGRUPPEZU
ASP_SPALTENKOPF;BIL.ASP_SPALTENKOPF
ASU_ANLAGENSUMMEN;BIL.ASU_ANLAGENSUMMEN
AUB_KIND;BIL.AUB_KIND
AUS_AUSWERTUNG;BIL.AUS_AUSWERTUNG
AUZ_AUSWERTUNGZUSATZ;BIL.AUZ_AUSWERTUNGZUSATZ
AWK_AUSWERTUNGKOPF;BIL.AWK_AUSWERTUNGKOPF
AZK_ANBUZUSCHUSSKENNZEICH;BIL.AZK_ANBUZUSCHUSSKENNZEICH
BBA_BERICHTSART;BIL.BBA_BERICHTSART
BFZ_XMLJABBETFIRZU;BIL.BFZ_XMLJABBETFIRZU
BKZ_BILANZKENNZAHL;BIL.BKZ_BILANZKENNZAHL
BLT_BILANZLANGTEXT;BIL.BLT_BILANZLANGTEXT
BPV_ANBU_BERECHPARAMS;BIL.BPV_ANBU_BERECHPARAMS
BTW_BESCHEIDWERT;BIL.BTW_BESCHEIDWERT
BUM_BILUMBUCHUNG;BIL.BUM_BILUMBUCHUNG
BVG_BRANCHENVERGLEICH;BIL.BVG_BRANCHENVERGLEICH
BWR_BEWERTRESERVESUMMEN;BIL.BWR_BEWERTRESERVESUMMEN
CCA_CBCADDINFO;BIL.CCA_CBCADDINFO
CCC_CBCCONSTENTITY;BIL.CCC_CBCCONSTENTITY
CCE_CBCENTITY;BIL.CCE_CBCENTITY
DBC_DBCHANGE;BIL.DBC_DBCHANGE
EBS_EBILANZSTRUKTUR;BIL.EBS_EBILANZSTRUKTUR
FBA_XMLJABFBANHANG;BIL.FBA_XMLJABFBANHANG
FNS_FINANZINSTRUMENTE;BIL.FNS_FINANZINSTRUMENTE
GAU_GEWINNAUFTEILUNG;BIL.GAU_GEWINNAUFTEILUNG
GE2_GEB2RECHTSGESCHAEFT;BIL.GE2_GEB2RECHTSGESCHAEFT
GFZ_XMLJABGESFIRZU;BIL.GFZ_XMLJABGESFIRZU
GKL_GROESSENKLASSEN;BIL.GKL_GROESSENKLASSEN
GLS_GLIEDERUNGSSCHEMA;BIL.GLS_GLIEDERUNGSSCHEMA
GLT_GLIEDERUNGSTEXT;BIL.GLT_GLIEDERUNGSTEXT
GLV_GLIEDERUNGSVERWEIS;BIL.GLV_GLIEDERUNGSVERWEIS
GLZ_GLIEDERUNGSZAHL;BIL.GLZ_GLIEDERUNGSZAHL
GMG_GRUPPENMITGLIEDER;BIL.GMG_GRUPPENMITGLIEDER
GND_GAU_DATA;BIL.GND_GAU_DATA
GNH_GAU_HEADER;BIL.GNH_GAU_HEADER
GSV_GSVGBERECH;BIL.GSV_GSVGBERECH
GTZ_GLIEDERUNGSTEXTZEILE;BIL.GTZ_GLIEDERUNGSTEXTZEILE
HEB_HEBESATZ;BIL.HEB_HEBESATZ
IAB_INVESTITIONSABZUG;BIL.IAB_INVESTITIONSABZUG
IZS_INVZUSUMMEN;BIL.IZS_INVZUSUMMEN
JAB_JABINFO;BIL.JAB_JABINFO
JAK_JABKOPF;BIL.JAK_JABKOPF
KAU_KONTOAUFGLIEDERUNG;BIL.KAU_KONTOAUFGLIEDERUNG
LAB_LATENTESTEUERN_BELEGZU;BIL.LAB_LATENTESTEUERN_BELEGZU
LAS_LATENTE_STEUERN;BIL.LAS_LATENTE_STEUERN
LBZ_LANGFRISTERST_BELEGZU;BIL.LBZ_LANGFRISTERST_BELEGZU
LGN_LAENDERGRUPPEN;BIL.LGN_LAENDERGRUPPEN
LRK_LANGFRISTIGE_RSTKONTEN;BIL.LRK_LANGFRISTIGE_RSTKONTEN
LRS_LANGFRISTIGE_RST;BIL.LRS_LANGFRISTIGE_RST
LSK_LATENTESTEUERN_KONTEN;BIL.LSK_LATENTESTEUERN_KONTEN
MKO_MINDESTKOEST;BIL.MKO_MINDESTKOEST
MWK_MWRKOPF;BIL.MWK_MWRKOPF
MWR_MWRDATEN;BIL.MWR_MWRDATEN
NEB_NEBENWERTE;BIL.NEB_NEBENWERTE
NEG_NICHTENTGEWINNE;BIL.NEG_NICHTENTGEWINNE
NFZ_ANBUFIBUZU;BIL.NFZ_ANBUFIBUZU
NVS_NACHVERSTEU_PAR11A;BIL.NVS_NACHVERSTEU_PAR11A
PAK_PERSRST_ALTERSV_KOPF;BIL.PAK_PERSRST_ALTERSV_KOPF
PBD_PERSKORST_BERECHDET;BIL.PBD_PERSKORST_BERECHDET
PBO_PERSKORST_KONTEN;BIL.PBO_PERSKORST_KONTEN
PDS_PERSKORST_DNSTAMM;BIL.PDS_PERSKORST_DNSTAMM
PDZ_PERSRST_ZUSATZDATEN;BIL.PDZ_PERSRST_ZUSATZDATEN
PGS_PERSKORST_GUTSTUNDEN;BIL.PGS_PERSKORST_GUTSTUNDEN
PIX_PERSRSTIMP_FELDSPERRE;BIL.PIX_PERSRSTIMP_FELDSPERRE
PKB_PERSKORSTBUCHBELEGZU;BIL.PKB_PERSKORSTBUCHBELEGZU
PKH_PERSKORSTHEADER;BIL.PKH_PERSKORSTHEADER
PKK_PERSKORST_PARAMKOPF;BIL.PKK_PERSKORST_PARAMKOPF
PKR_PERSKOSTEN_RST;BIL.PKR_PERSKOSTEN_RST
PKW_PERSKORST_PARAMWERT;BIL.PKW_PERSKORST_PARAMWERT
PKY_PKH_PKK_ZU;BIL.PKY_PKH_PKK_ZU
PSE_PERSRST_STERBET_WERT;BIL.PSE_PERSRST_STERBET_WERT
