AAD_ANBUAUSDRDETAILID (PK);AAD_ANBUAUSDRDETAILID
AAL_LANDNR (PK);AAL_LANDNR
AAL_AUSDRUCKID (PK);AAL_AUSDRUCKID
AAM_ANBUAUSDRMASTERNR (PK);AAM_ANBUAUSDRMASTERNR
ABJ_BEWRESID (PK);ABJ_BEWRESID
ABJ_BRJOURNALID (PK);ABJ_BRJOURNALID
ABO_SAK_FIRMENNR (PK);ABO_SAK_FIRMENNR
ABO_SAK_FIBUNR (PK);ABO_SAK_FIBUNR
ABO_SAK_KONTONR (PK);ABO_SAK_KONTONR
ABO_BUCHART (PK);ABO_BUCHART
ABO_BERECHNUNGSART (PK);ABO_BERECHNUNGSART
ABO_KONTIERUNGSART (PK);ABO_KONTIERUNGSART
ABR_BEWRESID (PK);ABR_BEWRESID
ABU_FIRMENNR (PK);ABU_FIRMENNR
ABU_ANBUNR (PK);ABU_ANBUNR
ACT_ANLAGEGUTID (PK);ACT_ANLAGEGUTID
ACT_ANBUBERECHART (PK);ACT_ANBUBERECHART
ACT_VONDATUM (PK);ACT_VONDATUM
ACT_BISDATUM (PK);ACT_BISDATUM
ACZ_ANLAGEGUTID (PK);ACZ_ANLAGEGUTID
ACZ_ANLGSAK_VON (PK);ACZ_ANLGSAK_VON
ADP_AUSDRGESTPAKETNR (PK);ADP_AUSDRGESTPAKETNR
ADP_ART1 (PK);ADP_ART1
ADP_ART2 (PK);ADP_ART2
ADP_ART3 (PK);ADP_ART3
ADP_ART4 (PK);ADP_ART4
AET_ANLAGEGUTID (PK);AET_ANLAGEGUTID
AET_BISDATUM (PK);AET_BISDATUM
AGT_ANLAGEGUTID (PK);AGT_ANLAGEGUTID
AGU_ANLAGEGUTID (PK);AGU_ANLAGEGUTID
AIT_KEY_ID (PK);AIT_KEY_ID
AJO_ANLAGEGUTID (PK);AJO_ANLAGEGUTID
AJO_ANBUJOURNALID (PK);AJO_ANBUJOURNALID
AKN_FIRMENNR (PK);AKN_FIRMENNR
AKN_ANBUNR (PK);AKN_ANBUNR
AKN_ANLAGEGUTID (PK);AKN_ANLAGEGUTID
ALG_ANLGRUPPENID (PK);ALG_ANLGRUPPENID
AMU_ANLAGEGUTID (PK);AMU_ANLAGEGUTID
AMU_BAR_RF_ID (PK);AMU_BAR_RF_ID
ANB_ANLBUCHID (PK);ANB_ANLBUCHID
AND_LANDNR (PK);AND_LANDNR
AND_FIRMENNR (PK);AND_FIRMENNR
AND_ANBUNDLFDNR (PK);AND_ANBUNDLFDNR
ANS_ANLSCHEMAID (PK);ANS_ANLSCHEMAID
ANZ_ANLAGEGUTID (PK);ANZ_ANLAGEGUTID
ANZ_KOST_KOSTENTYP (PK);ANZ_KOST_KOSTENTYP
ANZ_KOST_KNOTENREFNR (PK);ANZ_KOST_KNOTENREFNR
ANZ_ANLGKOST_VON (PK);ANZ_ANLGKOST_VON
APC_PRODUKTIONSCODENR (PK);APC_PRODUKTIONSCODENR
ART_BEWRESID (PK);ART_BEWRESID
ARZ_ANLAGEGUTID (PK);ARZ_ANLAGEGUTID
ARZ_ANLGRUPPENID (PK);ARZ_ANLGRUPPENID
ARZ_ZUORDNUNG_AB (PK);ARZ_ZUORDNUNG_AB
ASP_ANBUSPALTENKOPFID (PK);ASP_ANBUSPALTENKOPFID
ASU_ANLSUMLFDNR (PK);ASU_ANLSUMLFDNR
ASU_FIRMENNR (PK);ASU_FIRMENNR
ASU_FIBUNR (PK);ASU_FIBUNR
ASU_KONTONR (PK);ASU_KONTONR
ASU_BERECHART (PK);ASU_BERECHART
ASU_SUMMEN_VORJAHR (PK);ASU_SUMMEN_VORJAHR
ASU_PERIODE (PK);ASU_PERIODE
AUB_FIRMENNR (PK);AUB_FIRMENNR
AUB_PERSONENID (PK);AUB_PERSONENID
AUB_AUBERKLJAHR (PK);AUB_AUBERKLJAHR
AUB_AUBMODELL (PK);AUB_AUBMODELL
AUB_AUBLFDNR (PK);AUB_AUBLFDNR
AUS_FIRMENNR (PK);AUS_FIRMENNR
AUS_FIBUNR (PK);AUS_FIBUNR
AUS_KONTONR (PK);AUS_KONTONR
AUS_GLSCHEMANR (PK);AUS_GLSCHEMANR
AUS_GLTEXTNR (PK);AUS_GLTEXTNR
AUZ_FIRMENNR (PK);AUZ_FIRMENNR
AUZ_FIBUNR (PK);AUZ_FIBUNR
